연번,구인등록일,모집기간,사업장명,모집직종,구인인원,고용형태,임금형태,임금,근무지,입사형태,요구경력,요구학력,전공계열,요구자격증,사업장 주소,기업형태,담당기관,연락처
1,2019-07-15,2019-07-15 ~ 2019-08-16,(주)탑써비스,매장 정리원(매장 보조원),5,계약직,시급,"8,350",,무관,무관,무관,,    ,부산광역시 사상구 사상로 10-1 (주례동),중소,경기지역본부,1588-1519
2,2019-07-15,2019-07-15 ~ 2019-09-30,크린피아 유한회사,"건물 경비원(청사,학교,병원,상가,빌딩,공장 등)",4,계약직,월급,"1,300,000",,무관,무관,무관,,    ,전라남도 나주시 예향로 3839-1이창동,중소,전남지사,1588-1519
3,2019-07-15,2019-07-15 ~ 2019-08-31,한국전기안전써비스(주),사무 보조원(일반사업체),2,상용직,월급,"1,745,150",,무관,무관,무관,,    ,서울특별시 송파구 송파대로32길 8(가락동),중소,한국장애인단체총연합회,1588-1519
4,2019-07-15,2019-07-15 ~ 2019-07-29,(주)재인물산,창고 관리원(자재 검수원 포함),1,상용직,월급,"2,000,000",,무관,무관,무관,,    ,서울특별시 서초구 서초중앙로29길 16그린빌딩 4층 재인물산 (반포동),중소,서초센터,1588-1519
5,2019-07-15,2019-07-15 ~ 2019-09-11,주식회사 민고트리,사진작가 및 사진사,1,상용직,월급,"1,745,150",,신입,무관,무관,,    ,서울특별시 송파구 송이로28길 23-1지하1층 (문정동),중소,서울동부고용,1588-1519
6,2019-07-15,2019-07-15 ~ 2019-09-11,주식회사 젠스타서비스,건물용 냉난방 설비 조작원,1,계약직,월급,"2,059,300",,무관,무관,무관,,    ,서울특별시 영등포구 국제금융로8길 27-8NH농협캐피탈 3층 젠스타서비스 (여의도동),중소,서울남부고용,1588-1519
7,2019-07-15,2019-07-15 ~ 2019-09-14,보고정보시스템(주),"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",1,상용직,시급,"8,350",,무관,무관,고졸,,    ,서울특별시 금천구 벚꽃로 286리더스타워 508호 (가산동),중소,서울관악고용,1588-1519
8,2019-07-15,2019-07-15 ~ 2019-07-30,KJ엔지니어링 주식회사,모바일 애플리케이션 프로그래머(앱·어플 개발),1,상용직,연봉,"35,000,000",,경력,3년0개월,무관,응용 소프트웨어 공학,    ,부산광역시 중구 중앙대로 88605호 KJ엔지니어링(주) (중앙동4가),중소,부산고용,1588-1519
9,2019-07-15,2019-07-15 ~ 2019-09-13,두남유통주식회사,홈페이지 자료관리원(정보검색 포함),1,상용직,월급,"2,000,000",,무관,무관,무관,,    ,부산광역시 금정구 장전로 2-1(장전동)1층2층 (장전동),중소,부산동부고용,1588-1519
10,2019-07-15,2019-07-15 ~ 2019-09-14,사상구장애인자립생활센터,사회복지사,1,계약직,월급,"1,745,150",,무관,무관,초대졸,가족·사회·복지학,사회복지사  자동차운전면허  ,부산광역시 사상구 사상로 524901호 (모라동),중소,부산북부고용센터,1588-1519
11,2019-07-15,2019-07-15 ~ 2019-08-09,(주)경비에스엔,주방 보조원,1,시간제,월급,"1,580,000",,무관,무관,무관,,    ,경상남도 창원시 마산회원구 양덕로 168경남빌딩3층 (양덕동),중소,마산고용,1588-1519
12,2019-07-15,2019-07-15 ~ 2019-08-09,(주)경비에스엔,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",1,파견근로,월급,"1,200,000",,무관,무관,무관,,    ,경상남도 창원시 마산회원구 양덕로 168경남빌딩3층 (양덕동),중소,마산고용,1588-1519
13,2019-07-15,2019-07-15 ~ 2019-08-07,(사)한국장애인기업협회,총무 및 일반 사무원,1,상용직,월급,"1,750,000",,무관,무관,무관,,    ,경상남도 창원시 의창구 의안로49번길 30북동공설시장 A동 1층 113호 (북동),중소,창원고용센터,1588-1519
14,2019-07-15,2019-07-15 ~ 2019-09-11,상평산업,CNC 선반 조작원(NC 선반 조작원),1,상용직,월급,"2,000,000",,무관,무관,무관,,    ,울산광역시 울주군 웅촌면 고연공단1길 16,중소,울산고용센터,1588-1519
15,2019-07-15,2019-07-15 ~ 2019-09-14,가람커뮤니케이션,시각 디자이너,1,상용직,연봉,"25,000,000",,경력,3년0개월,초대졸,시각디자인,    ,경상남도 진주시 큰들로 50,중소,진주고용,1588-1519
16,2019-07-15,2019-07-15 ~ 2019-08-31,홍익재활실버힐,시설 요양보호사(노인요양사),2,상용직,월급,"1,850,000",,무관,무관,무관,,    ,경상북도 칠곡군 북삼읍 북삼로2길 56(인평리),중소,칠곡센터,1588-1519
17,2019-07-15,2019-07-15 ~ 2019-07-30,다사장애인자립생활센터,사회복지사(사회복지시설),1,계약직,연봉,"21,000,000",,무관,무관,무관,가족·사회·복지학,사회복지사2급  사회복지사 1급  ,대구광역시 달성군 다사읍 대실역북로1길 5-12층 다사장애인자립생활센터,중소,대구달성,1588-1519
18,2019-07-15,2019-07-15 ~ 2019-08-10,신천종합관리(주),청소원,5,계약직,월급,"1,529,000",,무관,무관,무관,,    ,대구광역시 중구 동덕로 115진석타워 1503호,중소,대구고용,1588-1519
19,2019-07-15,2019-07-15 ~ 2019-08-17,효성화학,플라스틱 압출성형기 조작원,1,상용직,연봉,"33,000,000",,무관,무관,무관,,자동차운전면허1종보통    ,경상북도 영천시 천문로 642 (오미동),중소,경산센터,1588-1519
20,2019-07-15,2019-07-15 ~ 2019-08-31,세창테크,연삭기 및 연마(광택)기 조작원,2,계약직,월급,"1,800,000",,무관,0년0개월,무관,,    ,대구광역시 북구 3공단로 127-41층 (노원동3가),중소,대구강북센터,1588-1519
21,2019-07-15,2019-07-15 ~ 2019-09-13,(주)태창기술단,전기안전 기술자,1,계약직,월급,"1,200,000",,경력,2년0개월,무관,,전기산업기사  전기기사  ,대구광역시 동구 이노밸리로 40사무동 2층,중소,대구동부,1588-1519
22,2019-07-15,2019-07-15 ~ 2019-09-13,해피맘실버빌,사회복지사(사회복지시설),1,상용직,월급,"1,850,000",,경력,1년0개월,무관,,    ,경상북도 김천시 대항면 황악로 1371번지,중소,김천센터,1588-1519
23,2019-07-15,2019-07-15 ~ 2019-07-29,경상북도 김천의료원,공공행정 사무원,1,계약직,연봉,"30,000,000",,경력,5년0개월,무관,,    ,경상북도 김천시 모암길 24 (모암동),중소,김천센터,1588-1519
24,2019-07-15,2019-07-15 ~ 2019-09-14,문경시장애인단기거주시설,사회복지사(사회복지시설),1,상용직,월급,"1,800,000",,신입,무관,무관,,사회복지사2급    ,경상북도 문경시 시청2길 34 (모전동),중소,문경고용센터,1588-1519
25,2019-07-15,2019-07-15 ~ 2019-07-31,나우종합관리주식회사,경리 사무원(아파트·빌딩),1,상용직,월급,"2,000,000",,경력,1년0개월,고졸,,    ,"인천광역시 연수구 앵고개로 25070층 702-1호 (동춘동,연수메디컬빌딩) (동춘동)",중소,인천고용복지+센터,1588-1519
26,2019-07-15,2019-07-15 ~ 2019-07-31,주식회사 미영,생산·품질 사무원 및 관리원(화학·섬유·의료),2,상용직,월급,"1,850,000",,신입,무관,무관,,    ,인천광역시 남동구 청능대로339번길 57 (고잔동),중소,인천고용복지+센터,1588-1519
27,2019-07-15,2019-07-15 ~ 2019-07-31,하얀손코퍼레이션,제조 단순 종사원,2,시간제,시급,"8,350",,신입,무관,무관,,    ,인천광역시 부평구 마장로 4073층 (청천동),중소,인천북부고용,1588-1519
28,2019-07-15,2019-07-15 ~ 2019-07-30,수 데이케어센터,사회복지사(사회복지시설),1,상용직,월급,"2,000,000",,경력,0년6개월,대졸,가족·사회·복지학,사회복지사    ,경기도 수원시 권선구 서부로1596번길 10수여성병원 별관 6층 (고색동),중소,수원고용,1588-1519
29,2019-07-15,2019-07-15 ~ 2019-08-30,다산엔지니어링,전기·전자 장비 제도사(캐드원),1,상용직,월급,"2,000,000",,경력,5년0개월,무관,기계공학,    ,경기도 화성시 동탄면 동탄산단2길 58다산엔지니어링,중소,수원고용,1588-1519
30,2019-07-15,2019-07-15 ~ 2019-07-30,삼도개발(주),주유원(주유판매원),1,상용직,월급,"2,953,353",,무관,무관,무관,,    ,경기도 수원시 장안구 경수대로 862창경빌딩 401호 (조원동),중소,수원고용,1588-1519
31,2019-07-15,2019-07-15 ~ 2019-09-13,휴먼네트워크,컴퓨터 설치·수리원(컴퓨터A/S원),2,상용직,월급,"1,750,000",,무관,0년0개월,고졸,전산학·컴퓨터공학,자동차운전면허1종보통    ,경기도 수원시 팔달구 매산로 84 (매산로3가),중소,수원고용,1588-1519
32,2019-07-15,2019-07-15 ~ 2019-07-31,(주)메트릭시스템,"전기용접원(아크,알곤,티그용접원)",1,상용직,연봉,"22,000,000",,경력,2년0개월,고졸,,    ,경기도 화성시 팔탄면 버들로1362번길 15-7(주)메트릭시스템,중소,화성센터,1588-1519
33,2019-07-15,2019-07-15 ~ 2019-08-15,(주)드림오토테크,생산·품질 사무원 및 관리원(그 외 분야),1,상용직,연봉,"28,000,000",,경력,1년1개월,무관,,    ,경기도 화성시 봉담읍 덕우공단1길 46-2(주) 드림오토테크,중소,화성센터,1588-1519
34,2019-07-15,2019-07-15 ~ 2019-09-14,(주)풍년팩,종이제품 생산기계 조작원,2,상용직,월급,"2,000,000",,무관,무관,무관,,자동차운전면허    ,경기도 화성시 마도면 해운로742번길 22-31,중소,화성센터,1588-1519
35,2019-07-15,2019-07-15 ~ 2019-08-23,옥성cnc,연삭기 및 연마(광택)기 조작원,1,상용직,월급,"2,500,000",,경력,2년0개월,무관,,    ,경기도 김포시 대곶면 대곶남로560번길 64-164-1,중소,김포고용센터,1588-1519
36,2019-07-15,2019-07-15 ~ 2019-07-31,(주)고향미트,경영지원관리자,1,상용직,연봉,"40,000,000",,경력,10년0개월,초대졸,,    ,경기도 안산시 상록구 소학1길 6-10 (팔곡이동),중소,안산센터,1588-1519
37,2019-07-15,2019-07-15 ~ 2019-09-11,(주)인터플렉스,PCB 부품·제품 조립·검사원,1,계약직,시급,"8,350",,무관,무관,고졸,,    ,경기도 안산시 단원구 강촌로 149인터플렉스 스마트센터,중소,안산센터,1588-1519
38,2019-07-15,2019-07-15 ~ 2019-07-29,경기북부장애인권익옹호기관,사회복지사,1,상용직,월급,"2,127,800",,경력,4년0개월,초대졸,,    ,경기도 의정부시 오목로225번길 140성산타워 3층 301호,중소,의정부고용,1588-1519
39,2019-07-15,2019-07-15 ~ 2019-09-14,아미까쥬,가구 제조·수리원,3,상용직,시급,"8,350",,무관,무관,무관,,    ,경기도 포천시 소흘읍 죽엽산로262번길 8,중소,의정부고용,1588-1519
40,2019-07-15,2019-07-15 ~ 2019-09-14,리맥스관리단,건물·가정용 냉동·냉장·공조기 설치·정비원,1,계약직,월급,"2,500,000",,경력,5년0개월,고졸,,    ,경기도 구리시 경춘로 239리맥스빌딩 (인창동),중소,구리센터,1588-1519
41,2019-07-15,2019-07-15 ~ 2019-07-31,파티붕붕주식회사,고무제품 조립원 및 검사원,1,상용직,시급,"8,500",,신입,무관,무관,,    ,경기도 여주시 점동면 가남로 1037파티붕붕주식회사,중소,이천고용센터,1588-1519
42,2019-07-15,2019-07-15 ~ 2019-08-31,(주)이티엠,시스템 소프트웨어 개발자(프로그래머),1,상용직,연봉,"45,000,000",,신입,무관,초대졸,,    ,경기도 성남시 중원구 갈마치로 302우림라이온스밸리5차 B동803호 (상대원동),중소,성남고용,1588-1519
43,2019-07-15,2019-07-15 ~ 2019-09-14,농업회사법인바름(주),농림어업 단순 종사원,10,상용직,월급,"1,750,000",,무관,무관,무관,농업학,    ,경기도 광주시 도척면 도척로699번길 8-1,중소,광주센터,1588-1519
44,2019-07-15,2019-07-15 ~ 2019-08-15,(주)월드플랜,경리 사무원,1,상용직,월급,"1,800,000",,무관,무관,고졸,,    ,경기도 광주시 곤지암읍 원지길 61-13,중소,광주센터,1588-1519
45,2019-07-15,2019-07-15 ~ 2019-09-10,주식회사 유앤아이원,시각 디자이너,1,상용직,연봉,"24,000,000",,무관,0년0개월,초대졸,디자인일반,    ,경기도 고양시 일산동구 무궁화로 20-38로데오탑 4층 413호 (장항동),중소,고양고용,1588-1519
46,2019-07-15,2019-07-15 ~ 2019-09-14,(주)아세아항측,총무 및 일반 사무원,1,상용직,연봉,"22,000,000",,무관,무관,무관,,측량및지형공간정보산업기사  정보처리기사  ,경기도 고양시 일산동구 호수로 358-25동문굿모닝타워2차 401,중소,고양고용,1588-1519
47,2019-07-15,2019-07-15 ~ 2019-09-14,이룸비엠,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",1,시간제,월급,"1,100,000",,무관,무관,무관,,자동차운전면허    ,경기도 고양시 덕양구 고양대로 1780 (삼송동),중소,고양고용,1588-1519
48,2019-07-15,2019-07-15 ~ 2019-07-29,(주)제이케이알루미늄,경리 사무원(제조),1,상용직,월급,"1,750,000",,무관,무관,무관,,    ,경기도 파주시 탄현면 가시내길 104-3,중소,파주,1588-1519
49,2019-07-15,2019-07-15 ~ 2019-08-15,의료법인상원의료재단 광주조아병원,일반 간호사,2,상용직,연봉,"33,000,000",,무관,무관,초대졸,간호학,간호사    ,광주광역시 남구 중앙로 130-6광주조아요양병원,중소,광주고용청,1588-1519
50,2019-07-15,2019-07-15 ~ 2019-09-13,오인더스트리(주),플라스틱제품 생산기계 조작원,1,상용직,시급,"8,350",,경력,2년0개월,무관,,    ,광주광역시 광산구 하남산단1번로 129,중소,광주광산,1588-1519
51,2019-07-15,2019-07-15 ~ 2019-09-11,대장장이,웹 디자이너,1,상용직,월급,"1,750,000",,신입,무관,무관,,    ,전라북도 전주시 덕진구 기린대로 307지하 (진북동),중소,전주고용,1588-1519
52,2019-07-15,2019-07-15 ~ 2019-07-30,대림씨앤씨(주),제조 단순 종사원,2,상용직,월급,"2,000,000",,무관,무관,고졸,기계공학,    ,전라북도 완주군 봉동읍 과학로 921대림씨앤씨(주),중소,전주고용,1588-1519
53,2019-07-15,2019-07-15 ~ 2019-08-23,(유)숲이엔지,사무 보조원(일반사업체),1,시간제,월급,"1,600,000",,무관,무관,무관,,전기기사  전기산업기사  ,전라북도 완주군 이서면 안전로 151,중소,전주고용,1588-1519
54,2019-07-15,2019-07-15 ~ 2019-09-08,(주)동백,범용 밀링기조작원,1,상용직,시급,"8,350",,무관,무관,무관,,    ,전라북도 군산시 자유로 15-26 (소룡동),중소,군산고용,1588-1519
55,2019-07-15,2019-07-15 ~ 2019-09-08,(주)동백,범용 선반 조작원,1,상용직,시급,"8,350",,무관,무관,무관,,    ,전라북도 군산시 자유로 15-26 (소룡동),중소,군산고용,1588-1519
56,2019-07-15,2019-07-15 ~ 2019-09-08,(주)동백,CNC 선반 조작원(NC 선반 조작원),1,상용직,시급,"8,350",,무관,무관,무관,,    ,전라북도 군산시 자유로 15-26 (소룡동),중소,군산고용,1588-1519
57,2019-07-15,2019-07-15 ~ 2019-09-08,(주)동백,머시닝센터(MCT) 조작원,1,상용직,시급,"8,350",,무관,무관,무관,,    ,전라북도 군산시 자유로 15-26 (소룡동),중소,군산고용,1588-1519
58,2019-07-15,2019-07-15 ~ 2019-09-08,(주)동백,단순 사상원(용접사상 제외-용접원구분),2,상용직,시급,"8,350",,무관,무관,무관,,    ,전라북도 군산시 자유로 15-26 (소룡동),중소,군산고용,1588-1519
59,2019-07-15,2019-07-15 ~ 2019-09-14,명보이엔지,도장기 조작원,15,상용직,일급,"85,000",,무관,무관,무관,,    ,전라남도 영암군 삼호읍 대불로 93,중소,목포고용,1588-1519
60,2019-07-15,2019-07-15 ~ 2019-09-14,채움세무회계사무소,회계 사무원(회계·세무 사무소),1,상용직,연봉,"40,000,000",,경력,5년0개월,무관,,    ,전라남도 순천시 연향번영길 55이파리2층 채현석공인회계사사무소 (연향동),중소,순천고용,1588-1519
61,2019-07-15,2019-07-15 ~ 2019-09-14,웰의원,마케팅·광고·홍보·상품기획 사무원,1,상용직,월급,"1,800,000",,무관,무관,무관,,    ,전라남도 순천시 왕지로 33(왕지동 860-1번지)                   웰의원순천점 (왕지동),중소,순천고용,1588-1519
62,2019-07-15,2019-07-15 ~ 2019-07-31,㈜성동기업,화학물 가공장치 조작원,2,상용직,연봉,"34,000,000",,무관,무관,무관,,지게차운전기능사    ,전라남도 여수시 진달래길 310-88 (월내동),중소,여수센터,1588-1519
63,2019-07-15,2019-07-15 ~ 2019-09-13,(주)아트플레쉬,매표원 및 복권판매원,2,상용직,월급,"1,750,000",,무관,무관,고졸,,    ,제주특별자치도 제주시 조천읍 선교로 115-1,중소,제주특별자치도지사,1588-1519
64,2019-07-15,2019-07-15 ~ 2019-07-29,(주)유니에스,시설·특수 경비원,1,상용직,월급,"2,130,000",,무관,무관,무관,,    ,서울특별시 강남구 선릉로 514유니에스 (삼성동),중소,제주특별자치도지사,1588-1519
65,2019-07-15,2019-07-15 ~ 2019-07-31,삼영기계논산공장,화학·환경·에너지 분야 단순 종사원,1,상용직,연봉,"31,000,000",,무관,무관,초대졸,,대기환경기사  대기환경산업기사  ,충청남도 논산시 가야곡면 가야공단길 24-21삼영기계(주) 논산공장,중소,논산센터,1588-1519
66,2019-07-15,2019-07-15 ~ 2019-09-13,(주)엔지엠테크,웹 디자이너,1,계약직,월급,"3,500,000",,경력,2년0개월,무관,,    ,"대전광역시 중구 수침로55번길 192층, (주)엔지엠테크 (태평동)",중소,대전고용,1588-1519
67,2019-07-15,2019-07-15 ~ 2019-09-13,(주)신화아이푸드 우설화 천지연 청주점,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",1,시간제,시급,"8,600",,무관,무관,무관,,    ,충청북도 청주시 서원구 1순환로 8861층일부 신화푸드빌리지 청주점 (산남동),중소,청주고용,1588-1519
68,2019-07-15,2019-07-15 ~ 2019-09-14,(주)토영기술단,토목구조 설계 기술자,2,상용직,연봉,"31,000,000",,무관,무관,초대졸,토목공학,    ,충청북도 청주시 상당구 1순환로 1239청주타워8층,중소,청주고용,1588-1519
69,2019-07-15,2019-07-15 ~ 2019-09-11,주식회사 산,경리 사무원,2,상용직,연봉,"26,000,000",,경력,2년개월,무관,,    ,충청북도 단양군 가곡면 두산길 196-86196-86 CAFE SANN,중소,제천센터,1588-1519
70,2019-07-15,2019-07-15 ~ 2019-09-11,주식회사 산,음료 조리사(바리스타 포함),5,상용직,연봉,"26,000,000",,무관,무관,무관,,    ,충청북도 단양군 가곡면 두산길 196-86196-86 CAFE SANN,중소,제천센터,1588-1519
71,2019-07-15,2019-07-15 ~ 2019-07-31,(주)에이치에스정보통신,웹 개발자(웹 엔지니어·웹 프로그래머),1,상용직,연봉,"25,000,000",,무관,무관,무관,,    ,충청남도 천안시 동남구 신촌로 8 (신방동),중소,천안고용,1588-1519
72,2019-07-15,2019-07-15 ~ 2019-08-14,동백테크,범용 선반 조작원,2,상용직,시급,"8,350",,무관,무관,무관,,    ,충청남도 서천군 장항읍 장항공단길60번길 20원수리 450-35,중소,보령고용,1588-1519
73,2019-07-15,2019-07-15 ~ 2019-09-14,동백테크,CNC 선반 조작원(NC 선반 조작원),2,상용직,시급,"8,350",,무관,무관,무관,,    ,충청남도 서천군 장항읍 장항공단길60번길 20원수리 450-35,중소,보령고용,1588-1519
74,2019-07-15,2019-07-15 ~ 2019-09-14,서해키조개영어조합법인,마케팅·광고·홍보·상품기획 사무원,1,계약직,연봉,"21,000,000",,무관,0년0개월,무관,,    ,충청남도 보령시 천북면 하학로 572,중소,보령고용,1588-1519
75,2019-07-15,2019-07-15 ~ 2019-09-14,아이엠씨코퍼레이션,웹 디자이너,1,상용직,시급,"8,500",,경력,1년개월,무관,,    ,서울특별시 구로구 디지털로 3061차 414호 (구로동),중소,영등포여성인력센터,1588-1519
76,2019-07-15,2019-07-15 ~ 2019-09-14,케이오주식회사,청소원,10,상용직,월급,"2,000,000",,무관,무관,무관,,    ,서울특별시 강서구 마곡서로 101동익 드 미라벨 복합건물 (마곡동),중소,인천중구청,1588-1519
77,2019-07-15,2019-07-15 ~ 2019-09-14,주식회사 선우물류,온라인 판매원,2,상용직,연봉,"21,500,000",,무관,무관,고졸,,    ,경기도 이천시 마장면 마도로 173,중소,이천시청,1588-1519
78,2019-07-15,2019-07-15 ~ 2019-09-14,(주)와이이에스,세차원 및 운송장비 청소원,1,계약직,시급,"8,350",,무관,무관,고졸,,    ,경기도 고양시 덕양구 자유로 48927 (행주외동),중소,고양시청,1588-1519
79,2019-07-15,2019-07-15 ~ 2019-09-14,케이비엠플러스,경비원(건물 관리원),1,파견근로,월급,"2,004,000",,신입,무관,무관,,    ,서울특별시 금천구 시흥대로 3022층 (독산동),중소,안양시청,1588-1519
80,2019-07-15,2019-07-15 ~ 2019-09-14,주식회사 세움,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",1,계약직,월급,"1,160,000",,무관,무관,무관,,    ,경기도 부천시 소향로 29401호 (상동),중소,용인시청,1588-1519
81,2019-07-16,2019-07-16 ~ 2019-07-31,한국풀운영(주),"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",1,상용직,시급,"8,350",,무관,무관,무관,,    ,서울특별시 마포구 마포대로 63-8209호(삼창프라자빌딩) (도화동),중소,인천지사,1588-1519
82,2019-07-16,2019-07-16 ~ 2019-07-24,경기부천소사지역자활센터,공공행정 사무원,1,계약직,시급,"8,350",,무관,0년개월,무관,,    ,경기도 부천시 소사구 경인로 4774층 (괴안동),"협회,단체",인천지사,1588-1519
83,2019-07-16,2019-07-16 ~ 2019-08-31,주식회사 다온오토,자동차 조립·검사원,1,상용직,시급,"8,400",,무관,0년개월,무관,,    ,광주광역시 광산구 하남산단5번로 33(장덕동),중소,광주지역본부,1588-1519
84,2019-07-16,2019-07-16 ~ 2019-09-15,이피피에스주식회사,JAVA 프로그래밍 언어 전문가,1,상용직,연봉,"33,000,000",,경력,3년0개월,초대졸,응용 소프트웨어 공학,    ,서울특별시 강남구 강남대로84길 23한라클래식 3층 306호 (역삼동),중소,서울강남고용,1588-1519
85,2019-07-16,2019-07-16 ~ 2019-09-15,(주)차바이오텍,사무 보조원(일반사업체),1,계약직,월급,"1,750,000",,무관,무관,무관,,    ,서울특별시 강남구 도산대로 442피엔폴루스 3층 (청담동),중소,서울강남고용,1588-1519
86,2019-07-16,2019-07-16 ~ 2019-09-15,두산컨설팅공인중개사사무소,부동산 컨설턴트 및 중개인,2,상용직,월급,"1,887,100",,무관,무관,고졸,,    ,서울특별시 종로구 새문안로5길 19로얄빌딩 지하1층 3호 (당주동),중소,서울고용,1588-1519
87,2019-07-16,2019-07-16 ~ 2019-09-15,(주)한국공업엔지니어링,산업 안전원 및 위험물 관리원,2,상용직,연봉,"30,000,000",,무관,무관,무관,,방사성동위원소취급자일반면허  자동차운전면허  ,서울특별시 송파구 오금로 471풍산빌딩 5층 (주)한국공업엔지니어링,중소,서울동부고용,1588-1519
88,2019-07-16,2019-07-16 ~ 2019-09-10,(주)한국공업엔지니어링,산업 안전원 및 위험물 관리원,2,상용직,연봉,"30,000,000",,무관,무관,무관,,방사성동위원소취급자일반면허  자동차운전면허  ,서울특별시 송파구 오금로 471풍산빌딩 5층 (주)한국공업엔지니어링,중소,서울동부고용,1588-1519
89,2019-07-16,2019-07-16 ~ 2019-08-30,주식회사 제이엠바이오,무역 사무원(영어),1,상용직,연봉,"24,000,000",,무관,무관,초대졸,식품영양학,    ,서울특별시 강서구 공항대로 242열린M타워 811호 (마곡동),중소,강서,1588-1519
90,2019-07-16,2019-07-16 ~ 2019-09-15,세무회계 청안,회계 사무원(회계·세무 사무소),1,상용직,월급,"2,700,000",,경력,5년0개월,무관,금융·회계·세무학,전산세무회계  전산회계1급  ,서울특별시 영등포구 국회대로74길 9삼보빌딩 606호 (여의도동),중소,서울남부고용,1588-1519
91,2019-07-16,2019-07-16 ~ 2019-09-14,휴먼e솔루션,안내·접수원 및 전화교환원,1,상용직,월급,"2,100,000",,무관,무관,무관,,    ,서울특별시 영등포구 선유로 231영창빌딩204호 (양평동4가),중소,서울남부고용,1588-1519
92,2019-07-16,2019-07-16 ~ 2019-07-31,주식회사엘에스건영,계기 검침원 및 가스 점검원,1,계약직,연봉,"30,000,000",,무관,무관,무관,,가스기능사  가스용접기능사  ,서울특별시 성북구 삼선교로24길 37성북빌딩 5층 501호 (삼선동5가),중소,서울북부,1588-1519
93,2019-07-16,2019-07-16 ~ 2019-07-31,문화날개장애인자립생활센터,사회복지사,1,계약직,월급,"1,750,000",,무관,무관,초대졸,가족·사회·복지학,사회복지사2급  자동차운전면허1종보통  ,"서울특별시 동작구 사당로 300복합상가 221호 (사당동, 이수자이)",중소,서울관악고용,1588-1519
94,2019-07-16,2019-07-16 ~ 2019-07-31,(주)레몬헬스케어,웹 개발자,5,상용직,연봉,"32,000,000",,경력,2년0개월,무관,,    ,"서울특별시 금천구 가산디지털1로 145에이스하이엔드타워3차,1005호 (가산동)",중소,서울관악고용,1588-1519
95,2019-07-16,2019-07-16 ~ 2019-08-09,(주)유니에스,건물·가정용 냉동·냉장·공조기 설치·정비원,3,계약직,월급,"2,000,000",,경력,1년0개월,무관,,보일러기능사1급  공조냉동기계기능사  ,서울특별시 강남구 선릉로 514유니에스 (삼성동),중소,부산고용,1588-1519
96,2019-07-16,2019-07-16 ~ 2019-09-15,주식회사펄스,고객 상담원 및 모니터 요원,1,상용직,연봉,"24,000,000",,무관,0년0개월,무관,일본어·문학,컴퓨터활용능력1급  정보처리기능사  ,부산광역시 해운대구 수영강변대로 140817호,중소,부산동부고용,1588-1519
97,2019-07-16,2019-07-16 ~ 2019-07-29,울산광역시제2장애인체육관,물리치료사,1,계약직,월급,"1,832,100",,무관,무관,무관,재활학,물리치료사    ,울산광역시 중구 종가로 350 (교동),중소,울산고용센터,1588-1519
98,2019-07-16,2019-07-16 ~ 2019-07-31,(주)세진메탈,생산·품질 사무원 및 관리원(기계·자동차·금속),1,상용직,연봉,"33,000,000",,무관,무관,대졸,금속공학,대기환경기사  수질환경기사  ,울산광역시 울주군 온산읍 원봉로 15(주)세진메탈,중소,울산고용센터,1588-1519
99,2019-07-16,2019-07-16 ~ 2019-09-15,상록수재단,주방 보조원,1,계약직,시급,"8,350",,무관,무관,무관,,    ,대구광역시 달서구 문화회관3길 25상록수 실버타운 (장기동),중소,대구서부고용,1588-1519
100,2019-07-16,2019-07-16 ~ 2019-09-15,(주)삼호이앤씨,배송·납품 운전원(납품영업 포함),1,상용직,월급,"2,000,000",,신입,무관,무관,,    ,대구광역시 달성군 다사읍 세천로9길 21,중소,대구달성,1588-1519
101,2019-07-16,2019-07-16 ~ 2019-08-01,(주)대경TMS,콜센터 상담원(콜센터·고객센터·CS센터),5,계약직,월급,"1,787,000",,무관,무관,무관,,    ,대구광역시 중구 서성로 81대구은행 북성로지점 3층 (수창동),중소,대구고용,1588-1519
102,2019-07-16,2019-07-16 ~ 2019-07-30,(주)대경TMS,콜센터 상담원(콜센터·고객센터·CS센터),1,상용직,월급,"1,765,150",,무관,무관,무관,,    ,대구광역시 중구 서성로 81대구은행 북성로지점 3층 (수창동),중소,대구고용,1588-1519
103,2019-07-16,2019-07-16 ~ 2019-09-14,(주)한중엔시에스,제조 단순 종사원,2,상용직,시급,"8,350",,무관,무관,무관,,    ,경상북도 영천시 영천산단로 379(주)한중엔시에스 (채신동),중소,경산센터,1588-1519
104,2019-07-16,2019-07-16 ~ 2019-07-30,성서로얄팰리스 관리사무소,경리 사무원,1,계약직,월급,"2,000,000",,경력,1년개월,무관,,    ,대구광역시 달서구 성서로 393- (이곡동),중소,대구동부,1588-1519
105,2019-07-16,2019-07-16 ~ 2019-09-15,지심퍼니처,가구 제조원,2,계약직,시급,"8,350",,무관,0년0개월,무관,,    ,인천광역시 서구 북항로120번길 13-6지심퍼니처 (원창동),중소,인천서부,1588-1519
