시설명,시도명,시군구명,법정동명,위도,경도
전동휠체어급속충전기,서울특별시,종로구,종로2가,37.5706753,126.9889587
전동휠체어급속충전기,서울특별시,종로구,세종로,37.57162255,126.9767899
전동휠체어급속충전기,서울특별시,종로구,종로6가,37.5717847,127.0080776
전동휠체어급속충전기,서울특별시,종로구,세종로,37.5721241,126.9760848
전동휠체어급속충전기,서울특별시,종로구,효제동,37.5724512,127.001717
전동휠체어급속충전기,서울특별시,종로구,수송동,37.5728109,126.9791251
전동휠체어급속충전기,서울특별시,종로구,숭인동,37.5732808,127.0166486
전동휠체어급속충전기,서울특별시,종로구,충신동,37.5748385,127.0042636
전동휠체어급속충전기,서울특별시,종로구,충신동,37.5754504,127.0055641
전동휠체어급속충전기,서울특별시,종로구,옥인동,37.5817901,126.9692239
전동휠체어급속충전기,서울특별시,종로구,동숭동,37.5818372,127.0022796
정립회관,서울특별시,광진구,구의동,37.55053695,127.0979157
제기동역,서울 동대문구 왕산로 93,동대문구,제기동,37.5782556,127.038764
조원동 주민센터,서울특별시,관악구,신림동,37.4825228,126.9077834
종합운동장역,서울특별시,송파구,잠실동,37.510968,127.073356
주몽재활원,서울특별시,강동구,상일동,37.5461974,127.1633749
중계1단지분회(지체장애인협회),서울특별시,노원구,중계동,37.6469079,127.0652178
중계2.3동 주민센터 입구,서울특별시,노원구,중계동,37.64213069,127.0687306
중계3동분회(지체장애인협회),서울특별시,노원구,중계동,37.64617737,127.069659
중계4동 주민센터,서울특별시,노원구,중계동,37.6587371,127.0779756
중계4동분회(지체장애인협회),서울특별시,노원구,중계동,37.65609213,127.0749674
중계본동 주민센터,서울특별시,노원구,중계동,37.64780319,127.0802848
중곡보건지소,서울특별시,광진구,중곡동,37.559373,127.0870892
중구 구민복지관,서울특별시 중구 퇴계로 460,중구,신당동,37.5650538,127.0227775
중구 구민회관,서울특별시 중구 을지로39길 40,중구,을지로6가,37.5685235,127.0059098
중구청(별관 1층 안내데스크),서울특별시 중구 창경궁로 17,중구,예관동,37.5637584,126.9975517
중랑역,서울특별시 중랑구 중랑역로 9,중랑구,중화동,37.5947928,127.0757207
중앙노인 종합복지관,서울특별시,서초구,서초동,37.49232472,127.0168124
중앙동주민센터,서울특별시,관악구,봉천동,37.484152,126.9497279
중앙보훈병원역,서울특별시,강동구,둔촌동,37.52889617,127.1485439
증산역,서울특별시,은평구,증산동,37.58421654,126.9100346
지체장애인협회노원구지회,서울특별시,노원구,월계동,37.63097713,127.0610259
지체장애인협회양천구지회,서울특별시 양천구 신월로 126,양천구,신월동,37.5162606,126.8379267
창동역,서울 도봉구 마들로11길 77,도봉구,창동,37.6532592,127.047708
천왕역,서울특별시,구로구,천왕동,37.48682059,126.8387128
청담동 주민센터,서울특별시,강남구,청담동,37.52509058,127.049244
청룡동 주민센터,서울특별시,관악구,봉천동,37.47911714,126.941634
청림동주민센터,서울특별시,관악구,봉천동,37.49184654,126.9586273
총신대역,동작구 동작대로 117,동작구,사당동,37.4875138,126.9821618
총신대학교,서울특별시,동작구,사당동,37.48792793,126.9667615
충정로역,서울 서대문구 서소문로 17,서대문구,충정로3가,37.559569,126.96392
충현복지관,서울특별시,강남구,역삼동,37.503611,127.036971
태릉입구역 만남의광장,서울특별시,노원구,공릉동,37.6184443,127.0763292
평화의공원 정문,서울특별시 마포구 월드컵로 243-60,마포구,상암동,37.5642503,126.8975812
하계1분회(지체장애인협회),서울특별시,노원구,하계동,37.64325531,127.0743517
하상장애인복지관,서울특별시,강남구,개포동,37.4925543,127.0751338
한강로동 주민센터,서울특별시,용산구,한강로2가,37.52814224,126.9692281
한국뇌병변장애인인권협회,서울특별시,광진구,구의동,37.543179,127.084777
한국뇌성마비장애인협회 청우,서울특별시,노원구,상계동,37.6688613,127.0797589
한남역,서울특별시,용산구,한남동,37.52918752,127.0082497
한벗장애인주간보호시설,서울특별시,용산구,효창동,37.5427916,126.9579499
한성백제역,서울특별시,송파구,방이동,37.5163401,127.116114
한우리정보문화센터,서울특별시,서초구,서초동,37.48205177,127.025014
한울림장애인자립생활센터,서울특별시,관악구,봉천동,37.47423669,126.9337115
합정역,서울 마포구 양화로 55 합정역,마포구,서교동,37.5500917,126.914608
해오름장애인자립생활센터,서울특별시,영등포구,여의도동,37.52670394,126.9164739
행운동주민센터,서울특별시,관악구,봉천동,37.4806052,126.957016
홀트강동복지관,서울특별시,강동구,강일동,37.56621785,127.1732707
화랑대 철도공원,서울특별시,노원구,공릉동,37.6253637,127.0904084
화랑대역,서울 노원구 화랑로 510,노원구,공릉동,37.6198766,127.083266
효창공원앞역(경의중앙선),서울특별시,용산구,효창동,37.53933395,126.9613166
흑석동 주민센터,흑석한강로 11,동작구,흑석동,37.5057277,126.9665281
