,0,1,2,3,4
120,2019-01-02,서울특별시,영등포구,여의동,27
121,2019-01-02,서울특별시,강동구,길동,25
122,2019-01-02,서울특별시,광진구,구의제2동,25
123,2019-01-02,서울특별시,강북구,번제3동,24
124,2019-01-02,서울특별시,종로구,이화동,24
125,2019-01-02,서울특별시,강동구,둔촌제2동,23
126,2019-01-02,서울특별시,노원구,월계2동,22
127,2019-01-02,서울특별시,노원구,월계3동,22
128,2019-01-02,서울특별시,동대문구,휘경제2동,22
129,2019-01-02,서울특별시,성북구,길음제1동,22
130,2019-01-02,서울특별시,송파구,오금동,20
131,2019-01-02,서울특별시,종로구,종로1.2.3.4가동,20
132,2019-01-02,서울특별시,구로구,구로제5동,19
133,2019-01-02,서울특별시,성동구,마장동,19
134,2019-01-02,서울특별시,은평구,진관동,19
135,2019-01-02,서울특별시,강남구,세곡동,18
136,2019-01-02,서울특별시,강동구,상일동,18
137,2019-01-02,서울특별시,강북구,삼각산동,18
138,2019-01-02,서울특별시,노원구,공릉1.3동,18
139,2019-01-02,서울특별시,노원구,중계2.3동,18
140,2019-01-02,서울특별시,마포구,대흥동,18
141,2019-01-02,서울특별시,중구,명동,18
142,2019-01-02,서울특별시,강서구,가양제1동,17
143,2019-01-02,서울특별시,동작구,상도제1동,17
144,2019-01-02,서울특별시,송파구,장지동,17
145,2019-01-02,서울특별시,강동구,천호제2동,16
146,2019-01-02,서울특별시,강서구,가양제2동,16
147,2019-01-02,서울특별시,노원구,상계1동,16
148,2019-01-02,서울특별시,노원구,상계2동,16
149,2019-01-02,서울특별시,노원구,중계4동,16
150,2019-01-02,서울특별시,동대문구,용두동,16
151,2019-01-02,서울특별시,성북구,종암동,16
152,2019-01-02,서울특별시,양천구,목5동,16
153,2019-01-02,서울특별시,영등포구,영등포동,16
154,2019-01-02,서울특별시,강서구,방화제2동,15
155,2019-01-02,서울특별시,노원구,중계1동,15
156,2019-01-02,서울특별시,도봉구,방학제1동,15
157,2019-01-02,서울특별시,서대문구,북아현동,15
158,2019-01-02,서울특별시,서초구,반포4동,15
159,2019-01-02,서울특별시,서초구,양재1동,15
160,2019-01-02,서울특별시,성동구,왕십리도선동,15
161,2019-01-02,서울특별시,성북구,월곡제2동,15
162,2019-01-02,서울특별시,영등포구,대림제3동,15
163,2019-01-02,서울특별시,중랑구,면목제3.8동,15
164,2019-01-02,서울특별시,구로구,오류제2동,14
165,2019-01-02,서울특별시,동대문구,신설동,14
166,2019-01-02,서울특별시,서대문구,홍은제2동,14
167,2019-01-02,서울특별시,은평구,응암제2동,14
168,2019-01-02,서울특별시,관악구,은천동,13
169,2019-01-02,서울특별시,광진구,화양동,13
170,2019-01-02,서울특별시,마포구,서교동,13
171,2019-01-02,서울특별시,서대문구,연희동,13
172,2019-01-02,서울특별시,성북구,안암동,13
173,2019-01-02,서울특별시,송파구,가락본동,13
174,2019-01-02,서울특별시,양천구,신정4동,13
175,2019-01-02,서울특별시,강남구,수서동,12
176,2019-01-02,서울특별시,강북구,번제2동,12
177,2019-01-02,서울특별시,강북구,수유제2동,12
178,2019-01-02,서울특별시,노원구,상계3.4동,12
179,2019-01-02,서울특별시,동작구,흑석동,12
180,2019-01-02,서울특별시,마포구,성산제1동,12
181,2019-01-02,서울특별시,서초구,서초1동,12
182,2019-01-02,서울특별시,종로구,교남동,12
183,2019-01-02,서울특별시,중랑구,중화제2동,12
184,2019-01-02,서울특별시,강동구,강일동,11
185,2019-01-02,서울특별시,강북구,수유제3동,11
186,2019-01-02,서울특별시,강서구,방화제3동,11
187,2019-01-02,서울특별시,구로구,구로제3동,11
188,2019-01-02,서울특별시,노원구,하계2동,11
189,2019-01-02,서울특별시,도봉구,쌍문제3동,11
190,2019-01-02,서울특별시,동대문구,회기동,11
