사업장명,모집직종,구인인원,고용형태,임금형태,임금,입사형태,요구경력,요구학력,사업장 주소,GU_NM,EMD_NM,Latitude,Longitude
(주)한성,건물 보수원 및 영선원(아파트 기계·전기 시설관리 제외),1,계약직,시급,"8,350",경력,1년0개월,무관,서울특별시 강동구 상암로5길 193층 (암사동),강동구,암사동,37.5521609,127.1276393
(주)농협파트너스,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",1,시간제,시급,"8,350",무관,무관,무관,서울특별시 강동구 올림픽로48길 7별관 1층 (성내동),강동구,성내동,37.5294972,127.1208316
(사)한국장애인정보화협회,전자 부품·제품 생산기계 조작원,2,계약직,월급,"1,750,000",무관,무관,무관,"서울특별시 강북구 삼양로155길 5(우이동,용천빌딩2층)",강북구,우이동,37.6560655,127.0127651
(사)한국장애인중심기업협회 피복사업본부,기타 의복 제조원,2,상용직,월급,"1,745,150",무관,무관,무관,서울특별시 강북구 삼양로76길 3 (수유동),강북구,수유동,37.6299232,127.0181505
주식회사 제이엠바이오,무역 사무원(영어),1,상용직,연봉,"24,000,000",무관,무관,초대졸,서울특별시 강서구 공항대로 242열린M타워 811호 (마곡동),강서구,마곡동,37.5764888,126.8307466
주식회사우창개발,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",1,계약직,월급,"1,153,800",무관,무관,무관,서울특별시 강서구 공항대로 627대신빌딩 7층 (염창동),강서구,염창동,37.5472853,126.8745376
케이오주식회사,청소원,10,상용직,월급,"2,000,000",무관,무관,무관,서울특별시 강서구 마곡서로 101동익 드 미라벨 복합건물 (마곡동),강서구,마곡동,37.5619185,126.826919
비비에스퍼실리티,경비원(건물 관리원),2,계약직,월급,"2,200,000",무관,무관,무관,"서울특별시 강서구 마곡서로 152에이동1107호(마곡동,두산더랜드타워) (마곡동)",강서구,마곡동,37.5764888,126.8307466
(주)케이퍼슨,지게차 운전원,1,계약직,월급,"2,800,000",무관,무관,무관,"서울특별시 관악구 관악로37길 15401호 (봉천동, 동아타운21아파트)",관악구,봉천동,37.4889328,126.9571126
(주)케이퍼슨,지게차 운전원,1,계약직,월급,"2,900,000",무관,무관,무관,"서울특별시 관악구 관악로37길 15401호 (봉천동, 동아타운21아파트)",관악구,봉천동,37.4889328,126.9571126
한우육회마을2호점,기타 조리사,1,상용직,일급,"90,000",무관,무관,무관,서울특별시 관악구 봉천로 520-1 (봉천동),관악구,봉천동,37.4793504,126.9557321
(주)광장이엠씨,사무 보조원(일반사업체),1,계약직,월급,"1,745,150",무관,무관,고졸,서울특별시 관악구 쑥고개로 75광장빌딩 (봉천동),관악구,봉천동,37.4796391,126.9449248
광진나눔장애인자립생활센터,사회복지사(사회복지시설),1,계약직,월급,"1,900,000",경력,2년0개월,고졸,서울특별시 광진구 자양로 2093층(장애인회관) (구의동),광진구,구의동,37.5509,127.0974583
구로장애인자립생활센터,사회복지사,1,상용직,월급,"1,750,000",무관,무관,무관,서울특별시 구로구 가마산로27길 148층(신원빌딩) (구로동),구로구,구로동,37.4985278,126.8904366
대형상운(주),택시 운전원,20,상용직,월급,"1,400,000",무관,무관,무관,서울특별시 구로구 경인로 110(대형상운) (오류동),구로구,오류동,37.4908316,126.8347259
(주)아이피엘비,청소원,1,계약직,월급,"1,605,100",무관,무관,무관,서울특별시 구로구 구로중앙로34길 22 (구로동),구로구,구로동,37.5004877,126.8843407
아이엠씨코퍼레이션,웹 디자이너,1,상용직,시급,"8,500",경력,1년개월,무관,서울특별시 구로구 디지털로 3061차 414호 (구로동),구로구,구로동,37.4833793,126.8941131
