사업장명,모집직종,구인인원,고용형태,임금형태,임금,입사형태,요구경력,요구학력,사업장 주소,GU_NM,EMD_NM,Latitude,Longitude
(주)경진관리,청소원,1,계약직,월급,"1,415,330",무관,무관,무관,서울특별시 영등포구 양산로 90-4경진빌딩 (당산동2가),영등포구,당산동2가,37.5243312,126.8928925
(주)스카이빌,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",1,계약직,월급,"1,312,630",무관,무관,무관,서울특별시 영등포구 양산로 923층 (주)스카이빌 (당산동2가),영등포구,당산동2가,37.5223863,126.8938653
롯데푸드(주),식품 분야 단순 종사원,5,계약직,시급,"8,350",무관,무관,무관,서울특별시 영등포구 양평로21길 10롯데삼강 (양평동5가),영등포구,양평동5가,37.5373702,126.8928398
한영회계법인,총무 및 일반 사무원,20,상용직,시급,"8,350",무관,무관,무관,서울특별시 영등포구 여의공원로 111태영빌딩 8층 (여의도동),영등포구,여의도동,37.5297606,126.9257812
마리아성모요양병원,기타 보건·의료 서비스 종사원,1,상용직,연봉,"20,941,800",무관,무관,무관,서울특별시 영등포구 영중로 122마리아성모요양병원 (영등포동8가),영등포구,영등포동8가,37.5270728,126.906032
한국지체장애인협회중앙회,사무 보조원(일반사업체),1,계약직,시급,"8,350",무관,무관,고졸,서울특별시 영등포구 의사당대로 22이룸센터 301호 (사)한국지체장애인협회 (여의도동),영등포구,여의도동,37.5268293,126.91783
한국지체장애인협회중앙회,생산·품질 사무원 및 관리원(그 외 분야),2,상용직,연봉,"27,000,000",무관,무관,고졸,서울특별시 영등포구 의사당대로 22이룸센터 301호 (사)한국지체장애인협회 (여의도동),영등포구,여의도동,37.5268293,126.91783
한국지체장애인협회중앙회,마케팅·광고·홍보·상품기획 사무원,1,상용직,월급,"2,000,000",무관,무관,무관,서울특별시 영등포구 의사당대로 22이룸센터 301호 (사)한국지체장애인협회 (여의도동),영등포구,여의도동,37.5268293,126.91783
한국장애인부모회,데이터베이스 운영·관리자,1,계약직,월급,"1,910,000",무관,무관,대졸,서울특별시 영등포구 의사당대로 22이룸센터 603호 (여의도동),영등포구,여의도동,37.5268293,126.91783
한국장애인부모회,지도제작 및 지리정보시스템 전문가,1,계약직,월급,"2,100,000",경력,2년개월,고졸,서울특별시 영등포구 의사당대로 22이룸센터 603호 (여의도동),영등포구,여의도동,37.5268293,126.91783
한국장애인부모회,편의점 판매원,1,계약직,시급,"8,350",무관,무관,고졸,서울특별시 영등포구 의사당대로 22이룸센터 603호 (여의도동),영등포구,여의도동,37.5268293,126.91783
한국장애인부모회,창고 관리원(자재 검수원 포함),1,계약직,월급,"2,070,000",무관,무관,고졸,서울특별시 영등포구 의사당대로 22이룸센터 603호 (여의도동),영등포구,여의도동,37.5268293,126.91783
(주)컴퓨존,기타 전자 부품·제품 조립·검사원,7,상용직,연봉,"26,000,000",신입,무관,무관,서울특별시 용산구 원효로58길 1,용산구,원효로2가,37.536208,126.963447
(주)엘지유플러스,전산자료 입력원(DB·단순자료),1,계약직,연봉,"24,500,000",무관,무관,초대졸,서울특별시 용산구 한강대로 32 (한강로3가),용산구,한강로3가,37.5327429,126.9641606
케이잡스 주식회사,총무 및 일반 사무원,1,계약직,월급,"1,750,000",무관,무관,무관,서울특별시 용산구 한강대로15길 9-53층 (한강로3가),용산구,한강로3가,37.5255673,126.9636388
아주네트웍스　주식회사,환경미화원 및 재활용품 수거원,1,시간제,시급,"8,350",경력,0년6개월,무관,서울특별시 용산구 한남대로 98일신빌딩 (한남동),용산구,한남동,37.5372055,127.0055232
아주네트웍스　주식회사,환경미화원 및 재활용품 수거원,1,계약직,시급,"8,350",경력,1년0개월,무관,서울특별시 용산구 한남대로 98일신빌딩 (한남동),용산구,한남동,37.5372055,127.0055232
공익활동가 사회적협동조합 동행,시민단체 활동가,2,상용직,월급,"1,800,000",무관,무관,무관,서울특별시 종로구 대학로 45임호빌딩 4층 공익활동가 사회적협동조합 동행 (연건동),종로구,연건동,37.5812676,127.0042946
두산컨설팅공인중개사사무소,부동산 컨설턴트 및 중개인,2,상용직,월급,"1,887,100",무관,무관,고졸,서울특별시 종로구 새문안로5길 19로얄빌딩 지하1층 3호 (당주동),종로구,당주동,37.5720063,126.9742753
현대엔지니어링(주),건물 보수원 및 영선원(아파트 기계·전기 시설관리 제외),1,계약직,월급,"2,720,000",무관,무관,무관,서울특별시 종로구 율곡로 75 (계동),종로구,계동,37.5807709,126.9863778
(주)에스엔아이시스템,환경 미화원,1,계약직,월급,"1,100,000",무관,0년개월,무관,서울특별시 종로구 종로12길 15(관철동),종로구,관철동,37.5693577,126.9859728
(주)이앤아이티홀딩스,창고 관리원(자재 검수원 포함),1,상용직,시급,"8,350",무관,무관,무관,서울특별시 중구 명동길 551207 (명동1가),중구,명동1가,37.5642078,126.984637
(사)사회복지공동모금회,총무 및 일반 사무원,2,계약직,월급,"2,750,000",무관,무관,무관,서울특별시 중구 세종대로21길 39 (정동),중구,정동,37.5683701,126.9751242
(주)국민트랜스,웹 디자이너,1,상용직,연봉,"25,000,000",경력,1년0개월,무관,"서울특별시 중구 세종대로4길 25이프라자빌딩 2층, 10층",중구,남대문로5가,37.5577428,126.9752743
(주)신세계아이앤씨,IT 기술지원 전문가,6,상용직,연봉,"30,000,000",무관,무관,고졸,서울특별시 중구 소공로 48프라임타워 10층 (회현동2가),중구,회현동2가,37.5402855,126.9702489
국립중앙의료원 서울중부해바라기센터,사회복지 관리자(부서장),1,계약직,연봉,"32,000,000",경력,2년0개월,대졸,서울특별시 중구 을지로 245국립중앙의료원 서울중부해바라기센터,중구,을지로6가,37.5672412,127.0056589
국립중앙의료원 서울중부해바라기센터,가족·학교·아동·청소년·노인·중독 등 상담 전문가,1,계약직,연봉,"26,410,000",경력,0년12개월,대졸,서울특별시 중구 을지로 245국립중앙의료원 서울중부해바라기센터,중구,을지로6가,37.5672412,127.0056589
스마일위드 주식회사,주방 보조원(일반 음식점),1,상용직,월급,"1,965,000",무관,0년개월,무관,서울특별시 중구 을지로 30롯데호텔(소공동),중구,소공동,37.5653,126.980979
주식회사 크래프토리,웹 개발자(웹 엔지니어·웹 프로그래머),1,상용직,연봉,"24,000,000",무관,무관,무관,서울특별시 중구 청계천로 40CKL기업지원센터 12층 1203호,중구,다동,37.5684894,126.9816134
주식회사 크래프토리,웹 기획자,1,상용직,연봉,"24,000,000",무관,무관,무관,서울특별시 중구 청계천로 40CKL기업지원센터 12층 1203호,중구,다동,37.5684894,126.9816134
와우전사,섬유·의복 분야 단순 종사원,1,계약직,월급,"1,950,000",신입,무관,무관,서울특별시 중구 청구로10길 34-6지하 (신당동),중구,신당동,37.5617694,127.0138718
와우전사,의상 디자이너,1,계약직,월급,"1,900,000",무관,무관,고졸,서울특별시 중구 청구로10길 34-6지하 (신당동),중구,신당동,37.5617694,127.0138718
주식회사서조코퍼레이션,가전 판매원(컴퓨터 포함),5,상용직,월급,"1,890,000",무관,무관,고졸,서울특별시 중구 통일로 8612층 6.7.8호 (순화동),중구,순화동,37.5608391,126.9707554
주식회사서조코퍼레이션,가전 판매원(컴퓨터 포함),3,상용직,연봉,"35,000,000",무관,무관,고졸,서울특별시 중구 통일로 8612층 6.7.8호 (순화동),중구,순화동,37.5608391,126.9707554
한길디앤피,책·인쇄물·출판 디자이너,1,상용직,연봉,"22,000,000",경력,1년0개월,초대졸,서울특별시 중구 퇴계로30길 24삼익파크빌 B-106(사무동),중구,필동,37.5598414,126.9916073
(사)한국신장장애인협회,아파트·빌라 경비원,1,계약직,월급,"2,160,000",무관,무관,무관,"서울특별시 중랑구 동일로136길 10제업무시설 301호 (중화동, 청원다미소아파트)",중랑구,중화동,37.6020323,127.0802085
