DATE,SI_NM,GU_NM,EMD_NM,TAXI_CNT
2019-01-02,서울특별시,강남구,세곡동,18
2019-01-02,서울특별시,강동구,상일동,18
2019-01-02,서울특별시,강북구,삼각산동,18
2019-01-02,서울특별시,노원구,공릉1.3동,18
2019-01-02,서울특별시,노원구,중계2.3동,18
2019-01-02,서울특별시,마포구,대흥동,18
2019-01-02,서울특별시,중구,명동,18
2019-01-02,서울특별시,강서구,가양제1동,17
2019-01-02,서울특별시,동작구,상도제1동,17
2019-01-02,서울특별시,송파구,장지동,17
2019-01-02,서울특별시,강동구,천호제2동,16
2019-01-02,서울특별시,강서구,가양제2동,16
2019-01-02,서울특별시,노원구,상계1동,16
2019-01-02,서울특별시,노원구,상계2동,16
2019-01-02,서울특별시,노원구,중계4동,16
2019-01-02,서울특별시,동대문구,용두동,16
2019-01-02,서울특별시,성북구,종암동,16
2019-01-02,서울특별시,양천구,목5동,16
2019-01-02,서울특별시,영등포구,영등포동,16
2019-01-02,서울특별시,강서구,방화제2동,15
2019-01-02,서울특별시,노원구,중계1동,15
2019-01-02,서울특별시,도봉구,방학제1동,15
2019-01-02,서울특별시,서대문구,북아현동,15
2019-01-02,서울특별시,서초구,반포4동,15
2019-01-02,서울특별시,서초구,양재1동,15
2019-01-02,서울특별시,성동구,왕십리도선동,15
2019-01-02,서울특별시,성북구,월곡제2동,15
2019-01-02,서울특별시,영등포구,대림제3동,15
2019-01-02,서울특별시,중랑구,면목제3.8동,15
2019-01-02,서울특별시,구로구,오류제2동,14
2019-01-02,서울특별시,동대문구,신설동,14
2019-01-02,서울특별시,서대문구,홍은제2동,14
2019-01-02,서울특별시,은평구,응암제2동,14
2019-01-02,서울특별시,관악구,은천동,13
2019-01-02,서울특별시,광진구,화양동,13
2019-01-02,서울특별시,마포구,서교동,13
2019-01-02,서울특별시,서대문구,연희동,13
2019-01-02,서울특별시,성북구,안암동,13
2019-01-02,서울특별시,송파구,가락본동,13
2019-01-02,서울특별시,양천구,신정4동,13
2019-01-02,서울특별시,강남구,수서동,12
2019-01-02,서울특별시,강북구,번제2동,12
2019-01-02,서울특별시,강북구,수유제2동,12
2019-01-02,서울특별시,노원구,상계3.4동,12
2019-01-02,서울특별시,동작구,흑석동,12
2019-01-02,서울특별시,마포구,성산제1동,12
2019-01-02,서울특별시,서초구,서초1동,12
2019-01-02,서울특별시,종로구,교남동,12
2019-01-02,서울특별시,중랑구,중화제2동,12
2019-01-02,서울특별시,강동구,강일동,11
2019-01-02,서울특별시,강북구,수유제3동,11
2019-01-02,서울특별시,강서구,방화제3동,11
2019-01-02,서울특별시,구로구,구로제3동,11
2019-01-02,서울특별시,노원구,하계2동,11
2019-01-02,서울특별시,도봉구,쌍문제3동,11
2019-01-02,서울특별시,동대문구,회기동,11
2019-01-02,서울특별시,은평구,응암제1동,11
2019-01-02,서울특별시,강남구,일원1동,10
2019-01-02,서울특별시,강북구,번제1동,10
2019-01-02,서울특별시,강서구,화곡제1동,10
2019-01-02,서울특별시,금천구,독산제1동,10
2019-01-02,서울특별시,동대문구,장안제3동,10
2019-01-02,서울특별시,동대문구,전농제2동,10
2019-01-02,서울특별시,서초구,내곡동,10
2019-01-02,서울특별시,양천구,신정7동,10
2019-01-02,서울특별시,은평구,응암제3동,10
2019-01-02,서울특별시,중구,회현동,10
2019-01-03,서울특별시,서대문구,신촌동,85
2019-01-03,서울특별시,노원구,하계1동,80
2019-01-03,서울특별시,노원구,상계6.7동,74
2019-01-03,서울특별시,은평구,역촌동,70
2019-01-03,서울특별시,마포구,상암동,51
2019-01-03,서울특별시,마포구,성산제2동,50
2019-01-03,서울특별시,영등포구,영등포동,50
2019-01-03,서울특별시,강북구,인수동,48
2019-01-03,서울특별시,동작구,신대방제2동,43
2019-01-03,서울특별시,양천구,신정3동,38
2019-01-03,서울특별시,강서구,등촌제3동,36
2019-01-03,서울특별시,중랑구,신내1동,36
2019-01-03,서울특별시,송파구,풍납2동,34
2019-01-03,서울특별시,은평구,구산동,34
2019-01-03,서울특별시,광진구,구의제2동,32
2019-01-03,서울특별시,양천구,신정6동,32
2019-01-03,서울특별시,종로구,이화동,31
2019-01-03,서울특별시,강서구,가양제2동,29
2019-01-03,서울특별시,영등포구,대림제3동,28
2019-01-03,서울특별시,관악구,보라매동,26
2019-01-03,서울특별시,노원구,중계2.3동,26
2019-01-03,서울특별시,강동구,고덕제1동,25
2019-01-03,서울특별시,강동구,둔촌제2동,25
2019-01-03,서울특별시,강서구,방화제1동,25
2019-01-03,서울특별시,동대문구,휘경제2동,25
2019-01-03,서울특별시,도봉구,도봉제2동,24
2019-01-03,서울특별시,영등포구,여의동,23
2019-01-03,서울특별시,노원구,월계2동,22
2019-01-03,서울특별시,노원구,상계1동,21
2019-01-03,서울특별시,노원구,상계2동,21
2019-01-03,서울특별시,구로구,구로제5동,20
2019-01-03,서울특별시,노원구,공릉1.3동,19
2019-01-03,서울특별시,노원구,월계3동,19
2019-01-03,서울특별시,도봉구,쌍문제3동,19
2019-01-03,서울특별시,마포구,대흥동,19
2019-01-03,서울특별시,성동구,왕십리도선동,19
2019-01-03,서울특별시,중랑구,면목제3.8동,19
2019-01-03,서울특별시,강동구,길동,18
2019-01-03,서울특별시,강북구,번제3동,18
2019-01-03,서울특별시,서초구,내곡동,18
2019-01-03,서울특별시,은평구,진관동,18
2019-01-03,서울특별시,종로구,종로1.2.3.4가동,18
2019-01-03,서울특별시,강남구,세곡동,17
2019-01-03,서울특별시,강동구,천호제2동,17
2019-01-03,서울특별시,노원구,중계1동,17
2019-01-03,서울특별시,강동구,상일동,16
2019-01-03,서울특별시,강서구,가양제1동,16
2019-01-03,서울특별시,강서구,발산제1동,16
2019-01-03,서울특별시,서대문구,연희동,16
2019-01-03,서울특별시,서대문구,홍은제2동,16
2019-01-03,서울특별시,서초구,반포4동,16
2019-01-03,서울특별시,서초구,양재1동,16
2019-01-03,서울특별시,성북구,길음제1동,16
2019-01-03,서울특별시,중랑구,상봉제1동,16
2019-01-03,서울특별시,강남구,수서동,15
2019-01-03,서울특별시,강서구,방화제2동,15
2019-01-03,서울특별시,성동구,마장동,15
2019-01-03,서울특별시,성북구,종암동,15
2019-01-03,서울특별시,양천구,목5동,15
2019-01-03,서울특별시,중랑구,망우본동,15
2019-01-03,서울특별시,강동구,강일동,14
2019-01-03,서울특별시,강북구,번제2동,14
2019-01-03,서울특별시,양천구,신정4동,14
2019-01-03,서울특별시,구로구,오류제2동,13
2019-01-03,서울특별시,노원구,중계4동,13
2019-01-03,서울특별시,동대문구,회기동,13
2019-01-03,서울특별시,서대문구,남가좌제2동,13
2019-01-03,서울특별시,송파구,가락본동,13
2019-01-03,서울특별시,송파구,장지동,13
2019-01-03,서울특별시,용산구,효창동,13
2019-01-03,서울특별시,강남구,도곡1동,12
2019-01-03,서울특별시,강남구,일원1동,12
2019-01-03,서울특별시,강서구,방화제3동,12
2019-01-03,서울특별시,관악구,은천동,12
2019-01-03,서울특별시,광진구,화양동,12
2019-01-03,서울특별시,구로구,구로제2동,12
2019-01-03,서울특별시,노원구,공릉2동,12
2019-01-03,서울특별시,노원구,하계2동,12
